32	('1788 hamilton',)
1	('1788 jay',)
24	('1788 madison',)
1	('18 1787',)
2	('18 1788',)
1	('18 2011',)
1	('18 the',)
1	('180 what',)
1	('1808 or',)
1	('1808 the',)
1	('181 3',)
1	("1846 '",)
1	('185 he',)
1	('1858 contralto',)
1	('186 2',)
1	('1869 and',)
1	('1869 or',)
1	('1869 the',)
1	('1870 he',)
1	('1878 after',)
1	('1883 a',)
1	('1883 his',)
1	('1884 there',)
2	('1887 email',)
1	('1887 he',)
1	('1888 i',)
1	('1890 just',)
1	('1890 sherlock',)
1	('19 1787',)
3	('19 1788',)
1	('19 the',)
1	('190 chin',)
1	('195 all',)
1	('195 how',)
1	('1998 etext',)
1	('19th good',)
1	('1s lunch',)
1	('1st article',)
1	('1st clause',)
1	('1st greater',)
1	('1st july',)
1	('1st that',)
1	('1st the',)
1	('1st to',)
1	('2 000',)
4	('2 1788',)
3	('2 and',)
1	('2 another',)
1	('2 article',)
1	('2 as',)
1	('2 book',)
1	('2 clause',)
1	('2 concerning',)
1	('2 de',)
1	('2 declaration',)
1	('2 encyclopedia',)
1	('2 ibid',)
2	('2 idem',)
2	('2 if',)
2	('2 in',)
2	('2 information',)
2	('2 is',)
3	('2 it',)
2	('2 limited',)
1	('2 no',)
1	('2 nothing',)
1	('2 of',)
1	('2 per',)
2	('2 pounds',)
1	('2 publius',)
1	('2 regulation',)
1	('2 sec',)
1	('2 section',)
1	('2 since',)
1	('2 that',)
1	('2 the',)
2	('2 this',)
2	('2 to',)
1	('2 vide',)
1	('2 what',)
1	('2 whether',)
1	('20 1787',)
1	('20 1788',)
1	('20 dwindled',)
2	('20 of',)
1	('20 the',)
1	('200 for',)
1	('200 pounds',)
2	('2001 the',)
1	('2002 language',)
1	('2009 language',)
1	('2011 ebook',)
2	('21 1787',)
1	('21 1788',)
1	('21 other',)
1	('22 1787',)
3	('22 1788',)
1	('22 the',)
1	('220 pounds',)
1	('221b baker',)
1	('226 gordon',)
1	('22nd inst',)
1	('22nd just',)
1	('22nd twenty',)
2	('23 1788',)
1	('23 the',)
1	('24 1787',)
1	('24 the',)
1	('249 read',)
1	('25 1787',)
2	('25 1788',)
1	('25 pounds',)
1	('25 seems',)
1	('25 the',)
1	('250 pounds',)
1	('257 3',)
1	('26 1787',)
3	('26 1788',)
1	('26 plumber',)
1	('26 the',)
1	('262 expresses',)
1	('26s 4d',)
2	('27 1787',)
1	('27 1788',)
1	('27 1890',)
1	('27 pounds',)
1	('27 the',)
1	('270 half',)
2	('28 1787',)
8	('28 1788',)
1	('28 the',)
1	('29 1788',)
1	('29 2002',)
1	('29 concerning',)
